1,1,9.999000099990002E-5,PonPokoAgent@12,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD]),0.5182970103926484
1,2,9.999000099990002E-5,Atlas3@13,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD]),1.000051804171754
2,1,1.9998000199980003E-4,PonPokoAgent@12,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD]),0.5182970103926484
2,2,1.9998000199980003E-4,Atlas3@13,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD]),1.000051804171754
3,1,2.9997000299970003E-4,PonPokoAgent@12,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD]),0.5182970103926484
3,2,2.9997000299970003E-4,Atlas3@13,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD]),1.000051804171754
4,1,3.9996000399960006E-4,PonPokoAgent@12,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD]),0.5182970103926484
4,2,3.9996000399960006E-4,Atlas3@13,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD]),1.000051804171754
5,1,4.999500049995E-4,PonPokoAgent@12,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD]),0.5182970103926484
5,2,4.999500049995E-4,Atlas3@13,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD]),1.000051804171754
6,1,5.999400059994001E-4,PonPokoAgent@12,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD]),0.5182970103926484
6,2,5.999400059994001E-4,Atlas3@13,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD]),1.000051804171754
7,1,6.999300069993001E-4,PonPokoAgent@12,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD]),0.5182970103926484
7,2,6.999300069993001E-4,Atlas3@13,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD]),1.000051804171754
8,1,7.999200079992001E-4,PonPokoAgent@12,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD]),0.5182970103926484
8,2,7.999200079992001E-4,Atlas3@13,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD]),1.000051804171754
9,1,8.999100089991E-4,PonPokoAgent@12,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD]),0.5182970103926484
9,2,8.999100089991E-4,Atlas3@13,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD]),1.000051804171754
10,1,9.99900009999E-4,PonPokoAgent@12,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD]),0.5182970103926484
10,2,9.99900009999E-4,Atlas3@13,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD]),1.000051804171754
11,1,0.0010998900109989002,PonPokoAgent@12,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD]),0.5182970103926484
11,2,0.0010998900109989002,Atlas3@13,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD]),1.000051804171754
12,1,0.0011998800119988001,PonPokoAgent@12,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD]),0.5182970103926484
